Month,DayOfWeek,Make,AccidentArea,DayOfWeekClaimed,MonthClaimed,Sex,MaritalStatus,Age,Fault,PolicyType,VehicleCategory,VehiclePrice,FraudFound_P,RepNumber,Deductible,DriverRating,Days_Policy_Accident,Days_Policy_Claim,PastNumberOfClaims,AgeOfVehicle,AgeOfPolicyHolder,PoliceReportFiled,WitnessPresent,AgentType,NumberOfSuppliments,AddressChange_Claim,NumberOfCars,BasePolicy,Age_Group
Jan,Tuesday,Toyota,Urban,Wednesday,Jan,Female,Married,39,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,8,400,2,more than 30,more than 30,1,7 years,36 to 40,No,No,Internal,none,no change,1 vehicle,Collision,Adult
Jan,Monday,Mazda,Urban,Monday,Jan,Male,Single,26,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,16,400,2,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,Collision,Adult
Jan,Sunday,Chevrolet,Urban,Thursday,Feb,Female,Married,55,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,5,400,2,more than 30,more than 30,2 to 4,6 years,41 to 50,No,No,External,1 to 2,no change,1 vehicle,Collision,Middle Age
Jan,Friday,Honda,Urban,Friday,Jan,Male,Single,39,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,14,400,1,more than 30,more than 30,1,more than 7,36 to 40,No,No,External,more than 5,no change,1 vehicle,All Perils,Adult
Jan,Friday,Chevrolet,Rural,Friday,Jan,Male,Single,31,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,15,400,2,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,4 to 8 years,3 to 4,Liability,Adult
Jan,Monday,Toyota,Urban,Wednesday,Jan,Male,Married,44,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,8,400,2,more than 30,more than 30,none,7 years,36 to 40,No,No,External,none,no change,1 vehicle,Collision,Middle Age
Jan,Tuesday,Toyota,Urban,Friday,Jan,Male,Married,78,Third Party,Sedan - All Perils,Sedan,less than 20000,0,2,400,4,more than 30,more than 30,none,more than 7,over 65,No,No,External,1 to 2,no change,1 vehicle,All Perils,Senior
Jan,Sunday,Honda,Urban,Monday,Jan,Male,Single,32,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,16,400,4,more than 30,more than 30,none,6 years,31 to 35,No,No,External,none,no change,1 vehicle,Collision,Adult
Jan,Monday,Chevrolet,Urban,Monday,Jan,Female,Married,29,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,15,400,3,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,Collision,Adult
Feb,Wednesday,Pontiac,Urban,Friday,Feb,Male,Married,63,Policy Holder,Sedan - All Perils,Sedan,more than 69000,0,10,400,4,more than 30,more than 30,none,more than 7,51 to 65,No,No,External,3 to 5,no change,1 vehicle,All Perils,Senior
Feb,Wednesday,Pontiac,Urban,Thursday,Feb,Male,Married,33,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,7,400,2,more than 30,more than 30,2 to 4,6 years,31 to 35,Yes,No,External,1 to 2,no change,1 vehicle,Collision,Adult
Feb,Friday,Pontiac,Urban,Tuesday,Feb,Male,Married,53,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,10,400,1,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,1 to 2,no change,1 vehicle,Collision,Middle Age
Feb,Monday,Toyota,Rural,Monday,Feb,Male,Married,43,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,15,400,1,more than 30,more than 30,none,7 years,36 to 40,No,No,External,none,no change,1 vehicle,Collision,Middle Age
Feb,Tuesday,Accura,Urban,Thursday,Feb,Male,Married,35,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,0,16,400,3,more than 30,more than 30,2 to 4,7 years,31 to 35,Yes,Yes,External,none,no change,1 vehicle,All Perils,Adult
Feb,Saturday,Pontiac,Urban,Thursday,Feb,Male,Married,42,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,15,400,3,more than 30,more than 30,1,6 years,36 to 40,No,No,External,none,no change,1 vehicle,Collision,Middle Age
Jul,Wednesday,Toyota,Urban,Thursday,Aug,Female,Married,54,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,5,400,4,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,Collision,Middle Age
Feb,Sunday,Chevrolet,Urban,Tuesday,Feb,Male,Married,51,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,0,1,400,4,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,All Perils,Middle Age
Feb,Monday,Toyota,Rural,Monday,Feb,Male,Married,34,Third Party,Sedan - Liability,Sport,20000 to 29000,0,14,400,3,more than 30,more than 30,1,7 years,31 to 35,No,No,Internal,none,no change,1 vehicle,Liability,Adult
Feb,Monday,Toyota,Urban,Wednesday,Feb,Male,Single,42,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,4,400,3,more than 30,more than 30,none,7 years,36 to 40,No,No,External,none,no change,1 vehicle,Collision,Middle Age
Feb,Friday,Saab,Urban,Friday,Feb,Male,Married,23,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,10,400,1,more than 30,more than 30,more than 4,6 years,26 to 30,No,No,External,more than 5,no change,1 vehicle,Liability,Young
Jul,Wednesday,Pontiac,Urban,Monday,Oct,Male,Married,45,Third Party,Sedan - Collision,Sedan,more than 69000,0,7,400,4,more than 30,more than 30,2 to 4,6 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,Collision,Middle Age
Mar,Monday,Toyota,Urban,Tuesday,Mar,Male,Married,52,Policy Holder,Sedan - Collision,Sedan,more than 69000,0,8,400,3,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,Collision,Middle Age
Apr,Monday,Honda,Urban,Monday,Apr,Male,Single,26,Policy Holder,Sedan - Collision,Sedan,more than 69000,0,15,400,2,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,Collision,Adult
May,Thursday,Chevrolet,Rural,Friday,May,Female,Married,26,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,2,400,3,more than 30,more than 30,1,5 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,Collision,Adult
Jul,Wednesday,Toyota,Rural,Friday,Aug,Male,Married,29,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,1,7,400,1,more than 30,more than 30,2 to 4,5 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,All Perils,Adult
Jun,Thursday,Mazda,Urban,Friday,Jun,Male,Married,43,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,7,400,1,more than 30,more than 30,2 to 4,6 years,36 to 40,No,No,External,1 to 2,4 to 8 years,2 vehicles,Collision,Middle Age
Jul,Thursday,Pontiac,Urban,Thursday,Aug,Male,Married,38,Policy Holder,Utility - All Perils,Utility,40000 to 59000,1,15,400,3,8 to 15,more than 30,2 to 4,more than 7,36 to 40,No,No,External,none,no change,1 vehicle,All Perils,Adult
Jun,Thursday,Toyota,Rural,Monday,Jun,Male,Married,46,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,15,400,1,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,All Perils,Middle Age
Jun,Thursday,Mazda,Urban,Wednesday,Oct,Male,Married,73,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,13,400,4,more than 30,more than 30,2 to 4,more than 7,over 65,Yes,No,External,none,no change,1 vehicle,Collision,Senior
Oct,Wednesday,Pontiac,Urban,Thursday,Oct,Male,Married,46,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,10,400,3,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,1 to 2,no change,1 vehicle,Collision,Middle Age
Jul,Thursday,Mazda,Urban,Thursday,Aug,Male,Married,52,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,1,7,400,4,more than 30,more than 30,2 to 4,more than 7,41 to 50,Yes,No,External,3 to 5,no change,1 vehicle,All Perils,Middle Age
Oct,Friday,Mazda,Urban,Monday,Oct,Male,Single,35,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,4,400,3,more than 30,more than 30,1,7 years,31 to 35,Yes,No,External,3 to 5,no change,1 vehicle,All Perils,Adult
Oct,Friday,Toyota,Urban,Tuesday,Oct,Male,Single,29,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,15,400,1,more than 30,more than 30,2 to 4,6 years,31 to 35,Yes,No,External,1 to 2,no change,1 vehicle,Liability,Adult
Oct,Sunday,Toyota,Urban,Friday,Nov,Male,Married,34,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,3,400,4,more than 30,more than 30,none,7 years,31 to 35,No,No,External,none,no change,1 vehicle,Collision,Adult
Oct,Tuesday,Chevrolet,Urban,Thursday,Nov,Male,Married,37,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,14,400,2,more than 30,more than 30,none,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,Collision,Adult
Oct,Tuesday,Chevrolet,Rural,Monday,Oct,Male,Married,45,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,13,400,3,more than 30,more than 30,1,7 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,Collision,Middle Age
Sep,Tuesday,Honda,Urban,Friday,Sep,Male,Married,48,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,12,400,3,more than 30,more than 30,more than 4,more than 7,41 to 50,No,No,External,3 to 5,no change,1 vehicle,Liability,Middle Age
Aug,Wednesday,Chevrolet,Urban,Wednesday,Aug,Male,Single,34,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,10,400,1,more than 30,more than 30,1,5 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,Collision,Adult
Jul,Tuesday,Chevrolet,Urban,Friday,Jul,Female,Single,33,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,8,400,1,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,Collision,Adult
Jul,Friday,Toyota,Urban,Wednesday,Aug,Male,Married,27,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,1,400,4,more than 30,more than 30,none,6 years,31 to 35,No,No,External,none,no change,1 vehicle,Collision,Adult
Jul,Tuesday,Mazda,Urban,Thursday,Jul,Female,Single,31,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,9,400,1,more than 30,more than 30,none,6 years,31 to 35,No,No,External,none,no change,1 vehicle,Collision,Adult
Jun,Wednesday,Pontiac,Urban,Thursday,Jun,Male,Married,55,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,2,400,2,more than 30,more than 30,2 to 4,6 years,41 to 50,No,No,External,more than 5,no change,1 vehicle,Liability,Middle Age
Jun,Thursday,Dodge,Rural,Tuesday,Jul,Male,Single,39,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,15,400,1,more than 30,more than 30,1,6 years,36 to 40,No,No,External,none,no change,1 vehicle,Collision,Adult
Jun,Thursday,Pontiac,Urban,Monday,Jul,Male,Married,31,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,2,400,1,more than 30,more than 30,1,6 years,31 to 35,No,No,External,none,no change,1 vehicle,Collision,Adult
Jun,Wednesday,Pontiac,Urban,Wednesday,Jun,Male,Married,54,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,9,400,2,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,All Perils,Middle Age
Jun,Wednesday,Honda,Urban,Saturday,Jul,Female,Single,23,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,9,400,2,more than 30,more than 30,none,5 years,26 to 30,No,No,External,none,no change,3 to 4,Collision,Young
Jul,Friday,Toyota,Urban,Friday,Aug,Male,Single,35,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,1,15,400,1,more than 30,more than 30,none,6 years,31 to 35,No,No,External,1 to 2,4 to 8 years,2 vehicles,Collision,Adult
Jun,Tuesday,Honda,Urban,Tuesday,Jun,Male,Single,34,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,7,400,1,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,Liability,Adult
Jun,Thursday,Chevrolet,Urban,Thursday,Jul,Male,Married,37,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,12,400,1,more than 30,more than 30,1,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,Collision,Adult
May,Wednesday,Toyota,Urban,Thursday,May,Male,Married,41,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,1,500,3,more than 30,more than 30,none,more than 7,36 to 40,No,No,External,none,2 to 3 years,1 vehicle,Collision,Middle Age
May,Monday,Honda,Rural,Monday,May,Male,Married,62,Policy Holder,Sedan - Collision,Sedan,less than 20000,0,2,400,1,more than 30,more than 30,2 to 4,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,Collision,Senior
Jul,Friday,Pontiac,Urban,Monday,Aug,Male,Married,44,Third Party,Sedan - Collision,Sedan,more than 69000,0,16,400,1,more than 30,more than 30,1,more than 7,36 to 40,No,No,External,none,no change,1 vehicle,Collision,Middle Age
Apr,Tuesday,Toyota,Urban,Tuesday,Apr,Male,Married,60,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,1,400,2,more than 30,more than 30,more than 4,more than 7,51 to 65,No,No,External,3 to 5,no change,1 vehicle,Liability,Middle Age
Apr,Saturday,Pontiac,Urban,Monday,Apr,Female,Married,35,Policy Holder,Sedan - Collision,Sedan,less than 20000,0,14,400,3,more than 30,more than 30,more than 4,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,Collision,Adult
Mar,Friday,Honda,Urban,Monday,Apr,Male,Married,43,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,4,700,2,more than 30,more than 30,none,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,Collision,Middle Age
Mar,Wednesday,Mazda,Urban,Monday,Mar,Male,Married,28,Third Party,Sedan - Liability,Sport,20000 to 29000,0,15,400,3,more than 30,more than 30,1,6 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,Liability,Adult
Mar,Tuesday,Pontiac,Rural,Wednesday,Apr,Male,Single,30,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,6,400,4,more than 30,more than 30,none,6 years,31 to 35,No,No,External,none,no change,1 vehicle,Collision,Adult
Mar,Friday,Mazda,Urban,Friday,Mar,Male,Married,57,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,8,400,3,more than 30,more than 30,none,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,Liability,Middle Age
Mar,Tuesday,Chevrolet,Urban,Tuesday,Mar,Male,Married,42,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,2,400,1,more than 30,15 to 30,1,4 years,36 to 40,No,No,External,none,no change,1 vehicle,Collision,Middle Age
Mar,Wednesday,Pontiac,Urban,Thursday,Mar,Male,Single,28,Policy Holder,Sedan - Liability,Sport,more than 69000,0,8,400,4,more than 30,more than 30,none,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,Liability,Adult
Mar,Friday,Toyota,Urban,Wednesday,Mar,Male,Married,26,Third Party,Sedan - Collision,Sedan,30000 to 39000,0,10,400,3,more than 30,more than 30,1,7 years,31 to 35,No,No,External,more than 5,1 year,1 vehicle,Collision,Adult
Mar,Friday,Pontiac,Urban,Monday,Mar,Male,Married,32,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,3,400,4,15 to 30,more than 30,1,5 years,31 to 35,No,No,External,none,no change,1 vehicle,All Perils,Adult
Feb,Tuesday,Pontiac,Urban,Wednesday,Mar,Male,Married,53,Policy Holder,Sedan - All Perils,Sedan,less than 20000,0,9,400,1,more than 30,more than 30,1,7 years,41 to 50,No,No,External,none,no change,1 vehicle,All Perils,Middle Age
Feb,Monday,Toyota,Urban,Wednesday,Mar,Male,Married,28,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,7,400,4,more than 30,more than 30,1,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,All Perils,Adult
Feb,Friday,Honda,Urban,Friday,Feb,Male,Married,61,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,16,400,3,more than 30,more than 30,1,6 years,51 to 65,No,No,External,none,no change,1 vehicle,Collision,Senior
Feb,Friday,Pontiac,Urban,Wednesday,Mar,Male,Married,35,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,5,400,2,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,Liability,Adult
Feb,Sunday,Pontiac,Urban,Friday,Feb,Male,Married,37,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,11,400,4,more than 30,more than 30,1,more than 7,36 to 40,No,No,External,1 to 2,no change,1 vehicle,Collision,Adult
Feb,Friday,Toyota,Urban,Friday,Feb,Male,Married,43,Third Party,Sedan - All Perils,Sedan,less than 20000,0,4,400,2,more than 30,more than 30,none,more than 7,36 to 40,No,No,External,more than 5,4 to 8 years,2 vehicles,All Perils,Middle Age
Feb,Sunday,Toyota,Urban,Friday,Feb,Male,Married,76,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,14,400,3,more than 30,more than 30,none,more than 7,over 65,No,No,External,none,no change,1 vehicle,Collision,Senior
Feb,Wednesday,VW,Urban,Tuesday,Feb,Male,Married,63,Policy Holder,Sedan - Collision,Sedan,40000 to 59000,0,6,400,3,more than 30,more than 30,1,more than 7,51 to 65,No,No,Internal,more than 5,no change,1 vehicle,Collision,Senior
Feb,Friday,Mazda,Urban,Wednesday,Mar,Male,Married,36,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,6,400,3,more than 30,more than 30,1,7 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,All Perils,Adult
Feb,Wednesday,Ford,Urban,Friday,Feb,Male,Single,40,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,0,14,400,3,more than 30,more than 30,1,6 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,All Perils,Adult
Feb,Saturday,Pontiac,Urban,Monday,Feb,Male,Single,30,Third Party,Sedan - Liability,Sport,30000 to 39000,0,8,400,3,more than 30,more than 30,2 to 4,7 years,31 to 35,Yes,No,External,1 to 2,no change,1 vehicle,Liability,Adult
Feb,Sunday,Toyota,Urban,Monday,Feb,Male,Single,32,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,4,400,4,more than 30,more than 30,1,6 years,31 to 35,No,No,External,1 to 2,no change,5 to 8,Collision,Adult
Feb,Tuesday,Chevrolet,Urban,Sunday,Feb,Female,Divorced,43,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,7,400,4,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,Liability,Middle Age
Feb,Saturday,Pontiac,Urban,Wednesday,Mar,Male,Married,30,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,7,400,3,more than 30,more than 30,1,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,Collision,Adult
Feb,Friday,Mazda,Urban,Tuesday,Mar,Male,Single,32,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,12,400,1,more than 30,more than 30,none,6 years,31 to 35,No,No,External,none,no change,1 vehicle,Collision,Adult
Jan,Wednesday,Mazda,Urban,Thursday,Jan,Male,Married,43,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,7,400,4,more than 30,more than 30,1,more than 7,36 to 40,No,No,External,3 to 5,no change,1 vehicle,Collision,Middle Age
Jul,Saturday,Honda,Urban,Tuesday,Aug,Male,Married,41,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,1,7,400,1,more than 30,more than 30,2 to 4,5 years,36 to 40,No,No,External,none,no change,1 vehicle,Collision,Middle Age
Jan,Monday,Saab,Urban,Wednesday,Feb,Female,Single,40,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,0,10,400,1,more than 30,more than 30,none,7 years,36 to 40,No,No,External,none,no change,1 vehicle,All Perils,Adult
Jan,Wednesday,Chevrolet,Urban,Friday,Jan,Male,Married,54,Third Party,Sedan - Liability,Sport,30000 to 39000,0,11,400,4,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,1 to 2,no change,1 vehicle,Liability,Middle Age
Dec,Wednesday,Honda,Urban,Thursday,Dec,Female,Married,29,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,4,400,1,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,All Perils,Adult
Oct,Friday,Toyota,Urban,Friday,Nov,Male,Married,62,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,5,400,3,more than 30,more than 30,1,7 years,51 to 65,No,No,External,more than 5,no change,1 vehicle,Collision,Senior
Jul,Saturday,Honda,Urban,Thursday,Aug,Male,Single,19,Policy Holder,Sport - Collision,Sport,more than 69000,1,2,400,4,more than 30,more than 30,2 to 4,3 years,21 to 25,No,No,External,3 to 5,no change,1 vehicle,Collision,Young
Oct,Wednesday,Toyota,Rural,Thursday,Oct,Male,Married,37,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,15,400,2,more than 30,more than 30,none,6 years,36 to 40,No,No,External,none,no change,1 vehicle,All Perils,Adult
Oct,Friday,Toyota,Urban,Wednesday,Oct,Male,Married,36,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,7,700,3,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,Collision,Adult
Sep,Monday,Chevrolet,Urban,Tuesday,Sep,Female,Single,32,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,7,400,2,more than 30,more than 30,none,3 years,31 to 35,Yes,No,External,none,no change,1 vehicle,Collision,Adult
Sep,Monday,Pontiac,Urban,Wednesday,Oct,Male,Married,54,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,8,400,2,8 to 15,more than 30,1,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,All Perils,Middle Age
Sep,Thursday,Toyota,Urban,Tuesday,Sep,Male,Married,28,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,9,400,4,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,4 to 8 years,2 vehicles,Collision,Adult
Aug,Wednesday,Honda,Urban,Friday,Sep,Male,Single,35,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,3,400,2,more than 30,more than 30,none,6 years,31 to 35,No,No,External,none,no change,1 vehicle,All Perils,Adult
Aug,Monday,Toyota,Urban,Thursday,Aug,Male,Married,53,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,16,400,3,more than 30,more than 30,2 to 4,7 years,41 to 50,No,No,External,none,no change,1 vehicle,Liability,Middle Age
Jul,Sunday,Honda,Urban,Monday,Aug,Male,Single,33,Third Party,Sport - Collision,Sport,more than 69000,0,5,400,1,more than 30,more than 30,none,5 years,31 to 35,No,No,External,none,no change,1 vehicle,Collision,Adult
Jul,Monday,Mazda,Urban,Tuesday,Jul,Male,Married,77,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,15,400,4,more than 30,more than 30,none,more than 7,over 65,No,No,External,1 to 2,no change,1 vehicle,All Perils,Senior
Jul,Monday,Honda,Urban,Tuesday,Jul,Male,Married,42,Third Party,Sedan - Liability,Sport,30000 to 39000,0,7,400,2,more than 30,more than 30,1,7 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,Liability,Middle Age
Jun,Wednesday,Pontiac,Urban,Monday,Jun,Male,Married,39,Third Party,Sedan - All Perils,Sedan,30000 to 39000,0,8,400,4,more than 30,more than 30,1,6 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,All Perils,Adult
Jul,Monday,Ford,Rural,Thursday,Sep,Male,Married,45,Third Party,Sedan - Collision,Sedan,30000 to 39000,0,13,400,3,more than 30,more than 30,1,7 years,36 to 40,No,No,External,none,no change,1 vehicle,Collision,Middle Age
May,Sunday,Pontiac,Urban,Monday,May,Male,Married,53,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,10,400,2,more than 30,more than 30,2 to 4,7 years,41 to 50,No,No,External,3 to 5,no change,1 vehicle,Liability,Middle Age
May,Tuesday,Pontiac,Rural,Friday,May,Male,Married,39,Third Party,Sedan - All Perils,Sedan,less than 20000,0,6,400,4,more than 30,more than 30,none,5 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,All Perils,Adult
May,Monday,Pontiac,Urban,Tuesday,May,Male,Married,52,Policy Holder,Sedan - All Perils,Sedan,less than 20000,0,2,400,1,more than 30,more than 30,none,7 years,41 to 50,No,No,External,1 to 2,no change,1 vehicle,All Perils,Middle Age
Apr,Monday,Honda,Urban,Monday,Apr,Male,Married,28,Third Party,Sedan - Liability,Sport,20000 to 29000,0,3,400,2,more than 30,more than 30,none,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,Liability,Adult
Mar,Monday,Toyota,Urban,Wednesday,Apr,Female,Single,29,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,1,500,3,more than 30,more than 30,1,6 years,31 to 35,No,No,External,none,2 to 3 years,1 vehicle,Liability,Adult
Mar,Monday,Honda,Urban,Thursday,Mar,Male,Single,39,Policy Holder,Sedan - Liability,Sport,more than 69000,0,9,400,2,more than 30,more than 30,more than 4,new,16 to 17,No,No,External,none,no change,1 vehicle,Liability,Adult
Jul,Monday,Honda,Urban,Wednesday,Aug,Male,Single,33,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,12,400,1,more than 30,more than 30,1,5 years,31 to 35,No,No,External,none,no change,1 vehicle,All Perils,Adult
Mar,Tuesday,Honda,Urban,Wednesday,Mar,Male,Single,39,Policy Holder,Sedan - Liability,Sport,more than 69000,0,8,400,1,more than 30,more than 30,more than 4,new,16 to 17,No,No,External,none,no change,1 vehicle,Liability,Adult
Mar,Sunday,Honda,Rural,Thursday,Mar,Male,Single,39,Policy Holder,Sedan - Collision,Sedan,more than 69000,0,7,400,3,more than 30,more than 30,2 to 4,new,16 to 17,Yes,No,External,none,no change,1 vehicle,Collision,Adult
Mar,Sunday,Chevrolet,Urban,Monday,Mar,Male,Single,26,Policy Holder,Sedan - Liability,Sport,more than 69000,0,9,400,1,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,Internal,more than 5,no change,1 vehicle,Liability,Adult
Mar,Wednesday,Toyota,Urban,Wednesday,Mar,Male,Married,27,Third Party,Sedan - All Perils,Sedan,30000 to 39000,0,14,400,1,more than 30,more than 30,1,6 years,31 to 35,No,No,External,none,no change,1 vehicle,All Perils,Adult
Mar,Wednesday,Mazda,Urban,Friday,Mar,Male,Single,35,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,4,400,3,more than 30,more than 30,1,6 years,31 to 35,No,No,External,none,no change,1 vehicle,Collision,Adult
Feb,Sunday,Chevrolet,Urban,Tuesday,Mar,Male,Married,36,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,2,400,3,more than 30,more than 30,1,6 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,All Perils,Adult
Aug,Tuesday,Accura,Urban,Monday,Aug,Male,Married,29,Policy Holder,Utility - All Perils,Utility,more than 69000,1,6,400,3,more than 30,more than 30,none,6 years,31 to 35,No,No,External,none,4 to 8 years,2 vehicles,All Perils,Adult
Mar,Tuesday,Honda,Urban,Tuesday,Mar,Female,Single,30,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,7,400,1,more than 30,more than 30,more than 4,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,Liability,Adult
